 0 0 12 2 0 37
0ad 2 2 35 4 3 14
0ad-data 0 0 11 3 0 0
0xffff 0 10 2 2 0 0
2048-qt 0 1 4 1 0 0
2ping 0 0 2 0 0 0
2vcard 0 1 2 1 0 0
3270font 0 0 2 2 0 0
389-admin 2 1 89 6 4 0
389-admin-console 0 2 5 2 0 0
389-adminutil 0 2 7 7 8 0
389-console 0 1 5 3 0 1
389-ds-base 0 58 144 8 28 0
389-ds-console 0 2 5 4 0 1
389-dsgw 0 4 27 3 12 0
3dchess 0 0 4 2 0 0
3depict 0 0 18 1 1 0
3dldf 0 1 9 0 1 0
3dldf-doc 0 10 3 0 0 0
4digits 2 2 7 1 1 0
4g8 0 4 12 5 1 0
4pane 0 2 1 0 0 4
4store 32 40 105 3 16 8
4ti2 0 1 31 0 2 11
6tunnel 0 0 1 1 1 0
7kaa 0 0 3 4 1 0
9base 0 1 103 4 2 98
9menu 0 1 3 2 0 0
9mount 0 1 11 1 3 6
9wm 0 0 1 3 0 0
a2jmidid 0 0 11 2 1 0
a2ps 0 4 24 6 3 0
a52dec 0 1 10 1 3 0
a56 0 1 11 4 3 0
a7xpg 0 1 7 5 1 0
aa3d 0 3 4 6 1 0
aac-tactics 0 2 7 3 0 2
aafigure 0 3 3 1 2 0
aalib 0 1 59 6 6 0
aaphoto 0 0 1 0 1 1
abacas 0 3 5 2 0 0
abcde 0 6 3 3 0 0
abci 0 2 2 2 0 0
abcm2ps 0 1 4 2 1 0
abcmidi 0 0 0 1 7 0
abe 0 0 3 1 2 0
abego-treelayout 0 0 1 1 0 0
abgate 0 0 3 1 1 8
abi-compliance-checker 3 0 3 1 2 0
abi-dumper 0 0 4 2 0 0
abi-monitor 0 0 1 2 0 0
abi-tracker 0 0 1 2 0 0
abicheck 0 6 2 6 0 0
abind 0 2 2 4 0 0
abinit 0 37 144 2 13 0
abiword 0 9 13 20 12 18
ableton-link 0 0 7 6 0 0
abntex 0 5 6 4 0 0
abook 0 1 3 1 1 0
aboot 0 5 14 5 2 0
abootimg 0 8 9 1 1 0
abr2gbr 0 4 7 6 1 0
abs-guide 0 2 3 1 0 11
abstract-rendering 0 4 13 6 0 0
abx 0 1 4 0 0 0
abyss 0 5 16 1 3 0
acbuild 0 0 5 3 0 0
acccheck 0 0 1 2 0 0
accelio 0 0 3 0 2 0
accerciser 1 1 3 1 0 0
access-modifier-checker 0 0 1 3 0 0
accessodf 0 2 3 2 0 0
accountsservice 0 0 11 1 1 0
acct 0 0 3 0 0 0
ace 0 53 28 11 351 90
ace-link 0 0 0 2 0 0
ace-of-penguins 0 1 3 1 1 8
ace-window 0 0 0 2 0 0
acedb 0 0 19 7 3 0
acepack 0 2 8 5 0 0
aces3 20 9 58 10 1 0
acetoneiso 0 1 10 1 0 1
acfax 0 4 5 7 0 0
acheck 0 0 1 0 0 0
acheck-rules 0 1 1 0 0 0
achilles 0 12 11 4 2 0
ack 0 1 0 1 0 1
acl 0 8 30 2 0 0
acl2 0 4 248 37 10 1
